Company ,Salesperson ,Total Sales ,Total Lbs ,Sales Mar 2020,Sales Apr 2020,Sales May 2020,Sales Jun 2020,Sales Jul 2020,Sales Aug 2020,Pounds Shipped Mar 2020,Pounds Shipped Apr 2020,Pounds Shipped May 2020,Pounds Shipped Jun 2020,Pounds Shipped Jul 2020,Pounds Shipped Aug 2020
Company-1240,Salesperson13,6301.0,7103.0,,5669.0,,632.0,,,,6297.0,,806.0,,
Company-1241,Salesperson6,15611.0,21841.0,,,,15611.0,,,,,,21841.0,,
Company-1242,Salesperson10,2684.0,1094.0,,,,2684.0,,,,,,1094.0,,
Company-1243,Salesperson4,2330.0,1649.0,379.0,1130.0,,318.0,392.0,111.0,200.0,772.0,,204.0,395.0,78.0
Company-1244,Salesperson6,491.0,352.0,,,,491.0,,,,,,352.0,,
Company-1245,Salesperson7,24783.0,28622.0,6094.0,6000.0,2606.0,1382.0,6140.0,2561.0,7540.0,6301.0,2892.0,1354.0,7151.0,3384.0
Company-1246,Salesperson13,1091.0,663.0,,,,,,1091.0,,,,,,663.0
Company-1247,Salesperson4,237.0,104.0,,,,237.0,,,,,,104.0,,
Company-1248,Salesperson13,679.0,287.0,,303.0,376.0,,,,,128.0,159.0,,,
Company-1249,Salesperson6,226.0,132.0,,,,,,226.0,,,,,,132.0
Company-125,Salesperson7,2486.0,3440.0,,619.0,822.0,218.0,827.0,,,988.0,1168.0,306.0,978.0,
Company-1250,Salesperson13,6449.0,4780.0,,,5620.0,829.0,,,,,4021.0,759.0,,
Company-1251,Salesperson13,516.0,708.0,,,,,516.0,,,,,,708.0,
Company-1252,Salesperson13,347.0,250.0,,347.0,,,,,,250.0,,,,
Company-1253,Salesperson6,1171.0,407.0,,869.0,302.0,,,,,299.0,108.0,,,
Company-1254,Salesperson6,158.0,82.0,,,,,158.0,,,,,,82.0,
Company-1255,Salesperson13,721.0,130.0,,,721.0,,,,,,130.0,,,
Company-1256,Salesperson8,251.0,104.0,,,251.0,,,,,,104.0,,,
Company-1257,Salesperson14,1019.0,1434.0,209.0,,,,810.0,,220.0,,,,1214.0,
Company-1258,Salesperson13,514.0,407.0,514.0,,,,,,407.0,,,,,
Company-1259,Salesperson5,1002.0,134.0,,461.0,,,541.0,,,60.0,,,74.0,
Company-126,Salesperson7,493.0,412.0,116.0,377.0,,,,,146.0,266.0,,,,
Company-1260,Salesperson6,936.0,182.0,,648.0,,,288.0,,,136.0,,,46.0,
Company-1261,Salesperson13,1051.0,291.0,,,297.0,91.0,663.0,,,,119.0,78.0,94.0,
Company-1262,Salesperson5,2831.0,1821.0,2318.0,513.0,,,,,1738.0,83.0,,,,
Company-1263,Salesperson8,2634.0,355.0,,2100.0,,,534.0,,,265.0,,,90.0,
Company-1264,Salesperson10,1692.0,294.0,,1692.0,,,,,,294.0,,,,
Company-1265,Salesperson6,1658.0,901.0,515.0,,148.0,325.0,555.0,115.0,312.0,,70.0,119.0,318.0,82.0
Company-1266,Salesperson6,10768.0,12945.0,2213.0,4877.0,2879.0,571.0,,228.0,2062.0,7176.0,3032.0,547.0,,128.0
Company-1267,Salesperson6,91.0,31.0,,,,,91.0,,,,,,31.0,
Company-1268,Salesperson8,288.0,358.0,288.0,,,,,,358.0,,,,,
Company-1269,Salesperson9,4641.0,2472.0,,989.0,,2747.0,508.0,397.0,,416.0,,1548.0,214.0,294.0
Company-127,Salesperson6,181.0,210.0,181.0,,,,,,210.0,,,,,
Company-1270,Salesperson13,15704.0,26276.0,6494.0,,4427.0,,1840.0,2943.0,10858.0,,7423.0,,3051.0,4944.0
Company-1271,Salesperson13,1952.0,2242.0,105.0,1440.0,,88.0,231.0,88.0,112.0,1926.0,,50.0,129.0,25.0
Company-1272,Salesperson13,1710.0,328.0,164.0,125.0,,1421.0,,,34.0,24.0,,270.0,,
Company-1273,Salesperson6,24793.0,5843.0,3730.0,8268.0,772.0,535.0,,11488.0,648.0,2737.0,170.0,108.0,,2180.0
Company-1274,Salesperson17,2391.0,2341.0,524.0,1175.0,439.0,,151.0,102.0,378.0,1200.0,526.0,,144.0,93.0
Company-1274,Salesperson4,5759.0,6163.0,207.0,784.0,1287.0,1447.0,308.0,1726.0,142.0,884.0,1186.0,1727.0,230.0,1994.0
Company-1275,Salesperson6,1381.0,216.0,,,1381.0,,,,,,216.0,,,
Company-1276,Salesperson23,950.0,78.0,,,,950.0,,,,,,78.0,,
Company-1277,Salesperson6,20247.0,12718.0,,20247.0,,,,,,12718.0,,,,
Company-1278,Salesperson6,351.0,504.0,,,351.0,,,,,,504.0,,,
Company-1279,Salesperson4,525.0,750.0,,,,,,525.0,,,,,,750.0
Company-128,Salesperson7,2121.0,1647.0,,830.0,,701.0,590.0,,,584.0,,714.0,349.0,
Company-1280,Salesperson7,4027.0,4838.0,,2212.0,,,1815.0,,,2502.0,,,2336.0,
Company-1281,Salesperson10,5543.0,6992.0,1110.0,,,3310.0,,1123.0,1404.0,,,4162.0,,1426.0
Company-1281,Salesperson23,1119.0,1326.0,,,1119.0,,,,,,1326.0,,,
Company-1282,Salesperson6,343.0,404.0,343.0,,,,,,404.0,,,,,
Company-1283,Salesperson5,10200.0,16409.0,3965.0,788.0,1959.0,,3488.0,,6624.0,1235.0,3094.0,,5456.0,
Company-1284,Salesperson9,81.0,57.0,,,81.0,,,,,,57.0,,,
Company-1285,Salesperson7,131.0,218.0,,131.0,,,,,,218.0,,,,
Company-1286,Salesperson9,3140.0,1272.0,,,3140.0,,,,,,1272.0,,,
Company-1287,Salesperson6,95.0,15.0,,,,,,95.0,,,,,,15.0
Company-1288,Salesperson7,88.0,8.0,,88.0,,,,,,8.0,,,,
Company-1289,Salesperson7,380.0,307.0,,,,224.0,156.0,,,,,292.0,15.0,
Company-129,Salesperson7,90.0,102.0,90.0,,,,,,102.0,,,,,
Company-1290,Salesperson7,1111.0,364.0,,,,,907.0,204.0,,,,,298.0,66.0
Company-1291,Salesperson6,659.0,98.0,,,,,659.0,,,,,,98.0,
Company-1292,Salesperson6,1237.0,661.0,1112.0,125.0,,,,,584.0,77.0,,,,
Company-1293,Salesperson6,754.0,452.0,,,754.0,,,,,,452.0,,,
Company-1294,Salesperson8,148947.0,23657.0,13936.0,45360.0,36821.0,15024.0,37806.0,,2226.0,9581.0,4756.0,1554.0,5540.0,
Company-1295,Salesperson6,9842.0,14621.0,2382.0,2187.0,1667.0,873.0,1555.0,1178.0,3462.0,3294.0,2474.0,1294.0,2250.0,1847.0
Company-1296,Salesperson4,63839.0,93417.0,,,,17358.0,22702.0,23779.0,,,,25733.0,33152.0,34532.0
Company-1296,Salesperson6,99802.0,147091.0,5265.0,80768.0,9124.0,4645.0,,,8069.0,117883.0,14076.0,7063.0,,
Company-1296,Salesperson7,639.0,1308.0,,,,,639.0,,,,,,1308.0,
Company-1297,Salesperson13,11706.0,2372.0,2209.0,1419.0,3487.0,910.0,1318.0,2363.0,375.0,368.0,658.0,201.0,288.0,482.0
Company-1298,Salesperson6,4651.0,6577.0,,32.0,867.0,3019.0,513.0,220.0,,38.0,980.0,4403.0,802.0,354.0
Company-1299,Salesperson6,88.0,104.0,,,88.0,,,,,,104.0,,,
Company-13,Salesperson11,232751.0,476971.0,5672.0,58188.0,81097.0,39784.0,27153.0,20857.0,12140.0,124709.0,167360.0,77439.0,50614.0,44709.0
Company-13,Salesperson3,101310.0,208737.0,64417.0,36893.0,,,,,130135.0,78602.0,,,,
Company-130,Salesperson7,537.0,904.0,,,,,537.0,,,,,,904.0,
Company-1300,Salesperson6,2056.0,360.0,439.0,269.0,1348.0,,,,82.0,42.0,236.0,,,
Company-1301,Salesperson6,114.0,86.0,,,,,,114.0,,,,,,86.0
Company-1302,Salesperson6,4013.0,761.0,1126.0,313.0,322.0,1126.0,,1126.0,208.0,63.0,72.0,210.0,,208.0
Company-1303,Salesperson13,179.0,260.0,179.0,,,,,,260.0,,,,,
Company-1304,Salesperson9,2711.0,1889.0,1309.0,572.0,,,830.0,,1102.0,546.0,,,241.0,
Company-1305,Salesperson13,104.0,10.0,104.0,,,,,,10.0,,,,,
Company-1306,Salesperson8,299.0,174.0,299.0,,,,,,174.0,,,,,
Company-1307,Salesperson13,100.0,96.0,,,100.0,,,,,,96.0,,,
Company-1308,Salesperson9,4073.0,4468.0,,,,1196.0,699.0,2178.0,,,,1030.0,690.0,2748.0
Company-1309,Salesperson6,5037.0,10674.0,1390.0,,2203.0,,1444.0,,2334.0,,3636.0,,4704.0,
Company-131,Salesperson13,371.0,79.0,,,182.0,91.0,98.0,,,,33.0,26.0,20.0,
Company-1310,Salesperson6,15309.0,12689.0,3727.0,934.0,3096.0,5680.0,500.0,1372.0,3610.0,752.0,1553.0,5390.0,454.0,930.0
Company-1311,Salesperson6,9877.0,8836.0,2100.0,612.0,4872.0,,2293.0,,1734.0,654.0,4340.0,,2108.0,
Company-1312,Salesperson6,3650.0,2926.0,2126.0,,590.0,934.0,,,1758.0,,458.0,710.0,,
Company-1313,Salesperson13,4141.0,911.0,,,,,4141.0,,,,,,911.0,
Company-1314,Salesperson15,3641.0,2611.0,1694.0,,,1947.0,,,1414.0,,,1197.0,,
Company-1315,Salesperson13,8298.0,6863.0,183.0,466.0,3898.0,2801.0,950.0,,37.0,438.0,2876.0,2420.0,1092.0,
Company-1316,Salesperson13,4736.0,3731.0,469.0,1826.0,95.0,1637.0,169.0,540.0,534.0,1242.0,104.0,1219.0,188.0,444.0
Company-1317,Salesperson13,162.0,156.0,162.0,,,,,,156.0,,,,,
Company-1318,Salesperson8,14289.0,18707.0,309.0,3242.0,1747.0,3665.0,4037.0,1289.0,282.0,5228.0,1976.0,3807.0,6187.0,1227.0
Company-1319,Salesperson8,12595.0,20768.0,,,4751.0,7714.0,,130.0,,,7696.0,12868.0,,204.0
Company-132,Salesperson6,175.0,58.0,,,175.0,,,,,,58.0,,,
Company-1320,Salesperson13,333.0,366.0,202.0,131.0,,,,,206.0,160.0,,,,
Company-1321,Salesperson10,264.0,148.0,,264.0,,,,,,148.0,,,,
Company-1322,Salesperson7,21138.0,18068.0,1655.0,9571.0,950.0,3601.0,5361.0,,1964.0,9358.0,1016.0,2336.0,3394.0,
Company-1323,Salesperson8,8729.0,3352.0,3488.0,4947.0,,294.0,,,1169.0,2098.0,,85.0,,
Company-1324,Salesperson8,1870.0,613.0,860.0,,376.0,634.0,,,262.0,,280.0,71.0,,
Company-1325,Salesperson6,943.0,1375.0,224.0,252.0,,,172.0,295.0,691.0,48.0,,,228.0,408.0
Company-1326,Salesperson6,3016.0,426.0,,,,,3016.0,,,,,,426.0,
Company-1327,Salesperson6,873.0,518.0,223.0,279.0,,,,371.0,172.0,296.0,,,,50.0
Company-1328,Salesperson8,465.0,134.0,,,465.0,,,,,,134.0,,,
Company-1329,Salesperson9,618.0,344.0,,,,,258.0,360.0,,,,,212.0,132.0
Company-133,Salesperson5,100.0,1.0,100.0,,,,,,1.0,,,,,
Company-1330,Salesperson6,387.0,491.0,100.0,,91.0,,196.0,,112.0,,112.0,,267.0,
Company-1331,Salesperson7,189.0,228.0,189.0,,,,,,228.0,,,,,
Company-1332,Salesperson7,75.0,60.0,,,,75.0,,,,,,60.0,,
Company-1333,Salesperson8,6790.0,1401.0,3949.0,594.0,175.0,,104.0,1968.0,786.0,154.0,38.0,,22.0,401.0
Company-1334,Salesperson8,1476.0,544.0,1140.0,,,,336.0,,474.0,,,,70.0,
Company-1335,Salesperson8,3305.0,496.0,1749.0,,,1556.0,,,276.0,,,220.0,,
Company-1336,Salesperson5,12332.0,15056.0,2313.0,1956.0,,3540.0,4523.0,,2668.0,2016.0,,3932.0,6440.0,
Company-1337,Salesperson6,284.0,376.0,,,,284.0,,,,,,376.0,,
Company-1338,Salesperson6,422.0,94.0,422.0,,,,,,94.0,,,,,
Company-1339,Salesperson6,2651.0,1823.0,,750.0,,709.0,,1192.0,,387.0,,544.0,,892.0
Company-134,Salesperson7,1331.0,1796.0,,,1237.0,94.0,,,,,1690.0,106.0,,
Company-1340,Salesperson6,712.0,114.0,,129.0,,218.0,365.0,,,29.0,,31.0,54.0,
Company-1341,Salesperson5,6483.0,9237.0,518.0,1052.0,,2708.0,1370.0,835.0,792.0,1742.0,,3758.0,1815.0,1130.0
Company-1342,Salesperson8,898.0,472.0,,,,,898.0,,,,,,472.0,
Company-1343,Salesperson6,163.0,196.0,163.0,,,,,,196.0,,,,,
Company-1344,Salesperson13,685.0,242.0,245.0,,352.0,,,88.0,143.0,,62.0,,,37.0
Company-1345,Salesperson8,439.0,55.0,,,439.0,,,,,,55.0,,,
Company-1346,Salesperson13,285.0,170.0,,,,285.0,,,,,,170.0,,
Company-1347,Salesperson7,2716.0,2842.0,709.0,535.0,889.0,453.0,130.0,,874.0,112.0,1218.0,622.0,16.0,
Company-1348,Salesperson6,2492.0,2592.0,669.0,609.0,101.0,691.0,,422.0,422.0,858.0,236.0,436.0,,640.0
Company-1349,Salesperson7,6716.0,7654.0,1978.0,2984.0,,657.0,1097.0,,2148.0,3828.0,,914.0,764.0,
Company-135,Salesperson13,973.0,184.0,,208.0,765.0,,,,,36.0,148.0,,,
Company-1350,Salesperson6,1813.0,3968.0,,500.0,,550.0,763.0,,,918.0,,904.0,2146.0,
Company-1351,Salesperson13,389.0,456.0,,245.0,,,144.0,,,264.0,,,192.0,
Company-1352,Salesperson8,487.0,89.0,,,,176.0,139.0,172.0,,,,46.0,14.0,29.0
Company-1353,Salesperson13,799.0,714.0,245.0,130.0,,424.0,,,200.0,78.0,,436.0,,
Company-1354,Salesperson6,100.0,13.0,100.0,,,,,,13.0,,,,,
Company-1355,Salesperson6,681.0,605.0,527.0,,154.0,,,,460.0,,145.0,,,
Company-1356,Salesperson17,811.0,952.0,,811.0,,,,,,952.0,,,,
Company-1356,Salesperson6,3207.0,4288.0,2009.0,,421.0,777.0,,,2234.0,,582.0,1472.0,,
Company-1357,Salesperson13,293.0,100.0,127.0,166.0,,,,,40.0,60.0,,,,
Company-1358,Salesperson8,409.0,340.0,,,,,409.0,,,,,,340.0,
Company-1359,Salesperson4,777.0,1356.0,,,,777.0,,,,,,1356.0,,
Company-136,Salesperson6,775.0,1010.0,,,,775.0,,,,,,1010.0,,
Company-1360,Salesperson6,874.0,462.0,874.0,,,,,,462.0,,,,,
Company-1361,Salesperson9,443.0,372.0,,443.0,,,,,,372.0,,,,
Company-1362,Salesperson6,67044.0,42484.0,12226.0,6768.0,6332.0,30450.0,10187.0,1081.0,7464.0,3788.0,3550.0,20448.0,6522.0,712.0
Company-1363,Salesperson8,786.0,102.0,367.0,419.0,,,,,51.0,51.0,,,,
Company-1364,Salesperson8,316.0,108.0,316.0,,,,,,108.0,,,,,
Company-1365,Salesperson6,261.0,240.0,,,261.0,,,,,,240.0,,,
Company-1366,Salesperson8,38646.0,33640.0,9021.0,5952.0,8360.0,12520.0,1478.0,1315.0,8436.0,4505.0,6561.0,12092.0,1294.0,752.0
Company-1367,Salesperson8,2710.0,2536.0,973.0,746.0,,574.0,417.0,,846.0,774.0,,516.0,400.0,
Company-1368,Salesperson8,469.0,257.0,469.0,,,,,,257.0,,,,,
Company-1369,Salesperson13,4442.0,4638.0,388.0,2221.0,1484.0,349.0,,,418.0,2305.0,1620.0,295.0,,
Company-137,Salesperson7,358.0,190.0,,,127.0,231.0,,,,,100.0,90.0,,
Company-1370,Salesperson7,3404.0,2614.0,979.0,710.0,1609.0,,106.0,,844.0,516.0,1206.0,,48.0,
Company-1371,Salesperson6,808.0,118.0,,,606.0,202.0,,,,,86.0,32.0,,
Company-1372,Salesperson8,613.0,110.0,499.0,,,,114.0,,94.0,,,,16.0,
Company-1373,Salesperson6,94.0,42.0,,94.0,,,,,,42.0,,,,
Company-1374,Salesperson6,523.0,84.0,,523.0,,,,,,84.0,,,,
Company-1375,Salesperson8,589.0,97.0,,,382.0,,207.0,,,,62.0,,35.0,
Company-1376,Salesperson6,4207.0,3626.0,349.0,1715.0,884.0,,1259.0,,456.0,1062.0,912.0,,1196.0,
Company-1377,Salesperson6,434.0,282.0,434.0,,,,,,282.0,,,,,
Company-1378,Salesperson8,50802.0,11251.0,17084.0,9055.0,21504.0,2110.0,1049.0,,3856.0,2024.0,4725.0,440.0,206.0,
Company-1379,Salesperson7,6738.0,1640.0,2860.0,,3743.0,135.0,,,802.0,,820.0,18.0,,
Company-138,Salesperson8,422.0,112.0,,,,,,422.0,,,,,,112.0
Company-1380,Salesperson8,1656.0,788.0,,,,908.0,,748.0,,,,527.0,,261.0
Company-1381,Salesperson13,969.0,161.0,,,802.0,167.0,,,,,110.0,51.0,,
Company-1382,Salesperson8,3993.0,618.0,874.0,,2425.0,,,694.0,132.0,,398.0,,,88.0
Company-1383,Salesperson8,1526.0,1552.0,495.0,,,,1031.0,,440.0,,,,1112.0,
Company-1384,Salesperson6,304.0,268.0,,,,181.0,123.0,,,,,154.0,114.0,
Company-1385,Salesperson6,1145.0,1092.0,,,,,1145.0,,,,,,1092.0,
Company-1386,Salesperson9,879.0,715.0,283.0,,392.0,,204.0,,176.0,,414.0,,125.0,
Company-1387,Salesperson8,45542.0,13964.0,13496.0,10087.0,4460.0,9547.0,3400.0,4552.0,4603.0,3152.0,1173.0,2902.0,1166.0,968.0
Company-1388,Salesperson7,198012.0,368308.0,31012.0,51118.0,32477.0,37013.0,31234.0,15158.0,54177.0,107721.0,55957.0,64511.0,55181.0,30761.0
Company-1389,Salesperson8,418.0,423.0,,,418.0,,,,,,423.0,,,
Company-139,Salesperson8,572.0,243.0,327.0,,100.0,,145.0,,72.0,,18.0,,153.0,
Company-1390,Salesperson13,908.0,808.0,,,344.0,,564.0,,,,220.0,,588.0,
Company-1391,Salesperson8,1632.0,288.0,,739.0,893.0,,,,,102.0,186.0,,,
Company-1392,Salesperson8,205.0,142.0,,205.0,,,,,,142.0,,,,
Company-1393,Salesperson7,3801.0,1061.0,3300.0,313.0,87.0,,,101.0,420.0,458.0,69.0,,,114.0
Company-1394,Salesperson8,197.0,203.0,,,,,,197.0,,,,,,203.0
Company-1395,Salesperson9,135.0,48.0,,,,,135.0,,,,,,48.0,
Company-1396,Salesperson13,3190.0,617.0,,3097.0,,,,93.0,,602.0,,,,15.0
Company-1397,Salesperson6,13026.0,4586.0,2746.0,2508.0,3369.0,1082.0,3321.0,,986.0,1096.0,1042.0,481.0,981.0,
Company-1398,Salesperson9,2451.0,2620.0,1285.0,,739.0,,427.0,,1452.0,,662.0,,506.0,
Company-1399,Salesperson8,642.0,114.0,,,,642.0,,,,,,114.0,,
Company-14,Salesperson11,28101.0,38178.0,,,,,28101.0,,,,,,38178.0,
Company-140,Salesperson9,361.0,65.0,361.0,,,,,,65.0,,,,,
Company-1400,Salesperson8,12370.0,2725.0,3242.0,3791.0,2686.0,1457.0,329.0,865.0,296.0,419.0,1055.0,676.0,45.0,234.0
Company-1401,Salesperson6,400.0,166.0,,400.0,,,,,,166.0,,,,
Company-1402,Salesperson10,1362.0,644.0,,899.0,463.0,,,,,176.0,468.0,,,
Company-1403,Salesperson13,27066.0,24096.0,,139.0,18355.0,5659.0,2913.0,,,13.0,15802.0,5024.0,3257.0,
Company-1404,Salesperson10,5052.0,2780.0,,,,3693.0,1359.0,,,,,1008.0,1772.0,
Company-1405,Salesperson8,2190.0,486.0,181.0,475.0,540.0,,994.0,,34.0,68.0,216.0,,168.0,
Company-1406,Salesperson13,3941.0,3848.0,219.0,,835.0,1461.0,1225.0,201.0,210.0,,640.0,1978.0,752.0,268.0
Company-1407,Salesperson8,1096.0,235.0,199.0,,168.0,,729.0,,94.0,,16.0,,125.0,
Company-1408,Salesperson8,36072.0,8502.0,10662.0,369.0,4689.0,6351.0,8316.0,5685.0,2002.0,57.0,931.0,1251.0,2328.0,1933.0
Company-1409,Salesperson6,52223.0,53012.0,16271.0,13579.0,,22234.0,139.0,,16248.0,13454.0,,23192.0,118.0,
Company-141,Salesperson13,419.0,82.0,,,,,142.0,277.0,,,,,25.0,57.0
Company-1410,Salesperson13,4469.0,1009.0,1946.0,88.0,,,2435.0,,464.0,47.0,,,498.0,
Company-1411,Salesperson13,264.0,118.0,,264.0,,,,,,118.0,,,,
Company-1412,Salesperson5,240.0,198.0,,,,,240.0,,,,,,198.0,
Company-1413,Salesperson6,1378.0,972.0,,,,801.0,577.0,,,,,812.0,160.0,
Company-1414,Salesperson7,719.0,1016.0,,,,,,719.0,,,,,,1016.0
Company-1415,Salesperson6,741.0,840.0,,,741.0,,,,,,840.0,,,
Company-1416,Salesperson6,1724.0,2759.0,1724.0,,,,,,2759.0,,,,,
Company-1417,Salesperson7,588.0,120.0,479.0,109.0,,,,,76.0,44.0,,,,
Company-1418,Salesperson8,647.0,101.0,225.0,,,422.0,,,40.0,,,61.0,,
Company-1419,Salesperson8,297.0,230.0,,,297.0,,,,,,230.0,,,
Company-142,Salesperson8,359.0,87.0,,,,359.0,,,,,,87.0,,
Company-1420,Salesperson5,3343.0,4083.0,,,191.0,,3152.0,,,,146.0,,3937.0,
Company-1421,Salesperson8,5378.0,5444.0,,,3364.0,,1308.0,706.0,,,3510.0,,1283.0,651.0
Company-1422,Salesperson6,2583.0,562.0,,,,2583.0,,,,,,562.0,,
Company-1423,Salesperson13,3048.0,4552.0,,664.0,1380.0,218.0,309.0,477.0,,1164.0,2108.0,290.0,364.0,626.0
Company-1424,Salesperson8,696.0,82.0,696.0,,,,,,82.0,,,,,
Company-1425,Salesperson13,57914.0,66940.0,15679.0,41822.0,,413.0,,,18249.0,48113.0,,578.0,,
Company-1426,Salesperson8,1091.0,206.0,,,1091.0,,,,,,206.0,,,
Company-1427,Salesperson5,1039.0,750.0,,,1039.0,,,,,,750.0,,,
Company-1428,Salesperson8,976.0,964.0,95.0,,561.0,,320.0,,58.0,,600.0,,306.0,
Company-1429,Salesperson13,546.0,184.0,,,,157.0,389.0,,,,,120.0,64.0,
Company-1430,Salesperson5,203.0,119.0,,,,,203.0,,,,,,119.0,
Company-1431,Salesperson4,10200.0,14721.0,3113.0,2150.0,932.0,738.0,2659.0,608.0,4900.0,2602.0,1576.0,1047.0,3702.0,894.0
Company-1432,Salesperson6,1055.0,773.0,186.0,775.0,,,94.0,,88.0,654.0,,,31.0,
Company-1433,Salesperson7,37758.0,45546.0,15068.0,13241.0,9449.0,,,,18331.0,15687.0,11528.0,,,
Company-1434,Salesperson6,325.0,264.0,104.0,,221.0,,,,64.0,,200.0,,,
Company-1435,Salesperson13,203.0,102.0,100.0,103.0,,,,,66.0,36.0,,,,
Company-1436,Salesperson7,16129.0,32176.0,,16129.0,,,,,,32176.0,,,,
Company-1437,Salesperson5,167.0,95.0,,,,167.0,,,,,,95.0,,
Company-1438,Salesperson8,1200.0,162.0,,,1200.0,,,,,,162.0,,,
Company-1439,Salesperson8,1704.0,255.0,375.0,,,,1329.0,,61.0,,,,194.0,
Company-144,Salesperson6,3903.0,1368.0,2705.0,640.0,,,558.0,,694.0,332.0,,,342.0,
Company-1440,Salesperson8,3185.0,513.0,,,,,,3185.0,,,,,,513.0
Company-1441,Salesperson13,10995.0,15138.0,2690.0,1073.0,3544.0,,3688.0,,4290.0,180.0,5408.0,,5260.0,
Company-1442,Salesperson13,659.0,126.0,,,,,659.0,,,,,,126.0,
Company-1443,Salesperson6,1938.0,1707.0,879.0,85.0,,750.0,102.0,122.0,942.0,53.0,,484.0,100.0,128.0
Company-1444,Salesperson13,959.0,638.0,,,,692.0,267.0,,,,,470.0,168.0,
Company-1445,Salesperson7,3137.0,1586.0,1046.0,1538.0,,327.0,226.0,,1150.0,336.0,,62.0,38.0,
Company-1446,Salesperson7,1680.0,1024.0,,,,1680.0,,,,,,1024.0,,
Company-1447,Salesperson6,3569.0,2068.0,3569.0,,,,,,2068.0,,,,,
Company-1448,Salesperson13,629.0,88.0,379.0,,250.0,,,,53.0,,35.0,,,
Company-1449,Salesperson10,2140.0,788.0,,,2140.0,,,,,,788.0,,,
Company-145,Salesperson13,610.0,422.0,,442.0,168.0,,,,,316.0,106.0,,,
Company-1450,Salesperson8,139.0,12.0,139.0,,,,,,12.0,,,,,
Company-1451,Salesperson7,754.0,504.0,518.0,89.0,,147.0,,,320.0,72.0,,112.0,,
Company-1452,Salesperson6,242.0,29.0,,,,242.0,,,,,,29.0,,
Company-1453,Salesperson8,774.0,482.0,,774.0,,,,,,482.0,,,,
Company-1454,Salesperson6,1253.0,1360.0,,834.0,419.0,,,,,892.0,468.0,,,
Company-1455,Salesperson13,756.0,878.0,756.0,,,,,,878.0,,,,,
Company-1456,Salesperson13,20316.0,15135.0,2259.0,1273.0,13582.0,1714.0,252.0,1236.0,1724.0,974.0,10092.0,1236.0,182.0,927.0
Company-1457,Salesperson7,81816.0,71331.0,36049.0,12907.0,6379.0,17203.0,4665.0,4613.0,30583.0,12102.0,5982.0,13195.0,4734.0,4735.0
Company-1458,Salesperson9,7092.0,1523.0,6028.0,261.0,,,803.0,,1391.0,21.0,,,111.0,
Company-1459,Salesperson9,4121.0,5463.0,4121.0,,,,,,5463.0,,,,,
Company-146,Salesperson8,368.0,197.0,,,,,368.0,,,,,,197.0,
Company-1460,Salesperson13,90.0,84.0,,,,,90.0,,,,,,84.0,
Company-1461,Salesperson7,4161.0,758.0,,1337.0,,228.0,1298.0,1298.0,,310.0,,36.0,204.0,208.0
Company-1462,Salesperson9,2900.0,2687.0,2595.0,,,305.0,,,2388.0,,,299.0,,
Company-1463,Salesperson13,2773.0,2814.0,735.0,635.0,1252.0,,151.0,,676.0,585.0,1418.0,,135.0,
Company-1464,Salesperson8,109.0,7.0,,,,109.0,,,,,,7.0,,
Company-1465,Salesperson6,20660.0,17213.0,579.0,5181.0,420.0,10682.0,3591.0,207.0,340.0,6974.0,300.0,7014.0,2450.0,135.0
Company-1466,Salesperson6,17397.0,5811.0,,17397.0,,,,,,5811.0,,,,
Company-1466,Salesperson7,199010.0,64350.0,,,145747.0,6339.0,45402.0,1522.0,,,47280.0,2194.0,14490.0,386.0
Company-1467,Salesperson7,4565.0,5908.0,,,4565.0,,,,,,5908.0,,,
Company-1468,Salesperson8,2920.0,1259.0,,1470.0,567.0,,883.0,,,663.0,199.0,,397.0,
Company-1469,Salesperson13,383.0,64.0,,,,,383.0,,,,,,64.0,
Company-147,Salesperson6,99.0,110.0,,,99.0,,,,,,110.0,,,
Company-1470,Salesperson9,306.0,50.0,146.0,,160.0,,,,22.0,,28.0,,,
Company-1471,Salesperson13,6319.0,2322.0,2735.0,,2710.0,,874.0,,1764.0,,418.0,,140.0,
Company-1472,Salesperson13,150.0,36.0,,,,150.0,,,,,,36.0,,
Company-1473,Salesperson6,4691.0,760.0,504.0,,100.0,658.0,3429.0,,92.0,,102.0,106.0,460.0,
Company-1474,Salesperson6,144.0,22.0,,,144.0,,,,,,22.0,,,
Company-1475,Salesperson6,952.0,897.0,,,952.0,,,,,,897.0,,,
Company-1476,Salesperson8,21928.0,8555.0,5945.0,5964.0,3264.0,1055.0,5067.0,633.0,2709.0,3371.0,580.0,136.0,1720.0,39.0
Company-1477,Salesperson8,5767.0,1289.0,,1837.0,1829.0,2101.0,,,,333.0,432.0,524.0,,
Company-1478,Salesperson8,87.0,33.0,,87.0,,,,,,33.0,,,,
Company-1479,Salesperson6,1068.0,1038.0,366.0,,,592.0,,110.0,392.0,,,544.0,,102.0
Company-148,Salesperson10,810.0,691.0,,,,,810.0,,,,,,691.0,
Company-148,Salesperson6,6149.0,1156.0,410.0,5141.0,,598.0,,,366.0,324.0,,466.0,,
Company-1480,Salesperson8,1737.0,298.0,1737.0,,,,,,298.0,,,,,
Company-1481,Salesperson13,1544.0,2016.0,468.0,,545.0,,531.0,,616.0,,620.0,,780.0,
Company-1482,Salesperson13,1719.0,2308.0,,1201.0,,,,518.0,,1586.0,,,,722.0
